stage,date,pens,pens_home_score,pens_away_score,team_name_home,team_name_away,team_home_score,team_away_score,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,duels_won_home,duels_won_away,prediction_team_home_win,prediction_draw,prediction_team_away_win,location,events_list,lineup_home,lineup_away
 Final ,06.08.2021,True,2,3, Sweden Women , Canada Women ,1,1,52%, 48% ,30, 14 ,6, 4 ,47%, 53% , 55% , 4% , 41% ," Nissan Stadium, Yokohama ","[{'event_team': 'away', 'event_time': "" 27' "", 'event_type': 'Yellow card', 'action_player_1': ' Janine Beckie '}, {'event_team': 'home', 'event_time': "" 34' "", 'event_type': 'Goal', 'action_player_1': ' Stina Blackstenius ', 'action_player_2': ' Kosovare Asllani '}, {'event_team': 'away', 'event_time': "" 45' "", 'event_type': 'Substitution', 'action_player_1': ' Julia Grosso ', 'action_player_2': ' Quinn '}, {'event_team': 'away', 'event_time': "" 45' "", 'event_type': 'Substitution', 'action_player_1': ' Adriana Leon ', 'action_player_2': ' Janine Beckie '}, {'event_team': 'away', 'event_time': "" 63' "", 'event_type': 'Substitution', 'action_player_1': ' Deanne Rose ', 'action_player_2': ' Nichelle Prince '}, {'event_team': 'away', 'event_time': "" 67' "", 'event_type': 'Penalty', 'action_player_1': ' Jessie Fleming ', 'action_player_2': ' Penalty '}, {'event_team': 'home', 'event_time': "" 75' "", 'event_type': 'Substitution', 'action_player_1': ' Lina Hurtig ', 'action_player_2': ' Sofia Jakobsson '}, {'event_team': 'home', 'event_time': "" 75' "", 'event_type': 'Substitution', 'action_player_1': ' Jonna Andersson ', 'action_player_2': ' Magdalena Eriksson '}, {'event_team': 'home', 'event_time': "" 75' "", 'event_type': 'Substitution', 'action_player_1': ' Hanna Bennison ', 'action_player_2': ' Filippa Angeldal '}, {'event_team': 'away', 'event_time': "" 86' "", 'event_type': 'Substitution', 'action_player_1': ' Jordyn Huitema ', 'action_player_2': ' Christine Sinclair '}, {'event_team': 'away', 'event_time': "" 93' "", 'event_type': 'Substitution', 'action_player_1': ' Jayde Riviere ', 'action_player_2': ' Allysha Chapman '}, {'event_team': 'home', 'event_time': "" 104' "", 'event_type': 'Yellow card', 'action_player_1': ' Kosovare Asllani '}, {'event_team': 'home', 'event_time': "" 105' "", 'event_type': 'Substitution', 'action_player_1': ' Olivia Schough ', 'action_player_2': ' Fridolina Rolfö '}, {'event_team': 'home', 'event_time': "" 105' "", 'event_type': 'Substitution', 'action_player_1': ' Anna Anvegård ', 'action_player_2': ' Stina Blackstenius '}, {'event_team': 'home', 'event_time': "" 120' "", 'event_type': 'Substitution', 'action_player_1': ' Emma Kullberg ', 'action_player_2': ' Amanda Ilestedt '}, {'event_team': 'away', 'event_time': "" 122' "", 'event_type': 'Substitution', 'action_player_1': ' Shelina Zadorsky ', 'action_player_2': ' Desiree Scott '}, {'event_team': 'home', 'event_time': False, 'event_type': 'PK', 'event_result': 'Missed', 'event_player': ' Kosovare Asllani '}, {'event_team': 'away', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Jessie Fleming '}, {'event_team': 'home', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Nathalie Björn '}, {'event_team': 'away', 'event_time': False, 'event_type': 'PK', 'event_result': 'Missed', 'event_player': ' Ashley Lawrence '}, {'event_team': 'home', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Olivia Schough '}, {'event_team': 'away', 'event_time': False, 'event_type': 'PK', 'event_result': 'Missed', 'event_player': ' Vanessa Gilles '}, {'event_team': 'home', 'event_time': False, 'event_type': 'PK', 'event_result': 'Missed', 'event_player': ' Anna Anvegård '}, {'event_team': 'away', 'event_time': False, 'event_type': 'PK', 'event_result': 'Missed', 'event_player': ' Adriana Leon '}, {'event_team': 'home', 'event_time': False, 'event_type': 'PK', 'event_result': 'Missed', 'event_player': ' Caroline Seger '}, {'event_team': 'away', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Deanne Rose '}, {'event_team': 'home', 'event_time': False, 'event_type': 'PK', 'event_result': 'Missed', 'event_player': ' Jonna Andersson '}, {'event_team': 'away', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Julia Grosso '}]","[{'player_name': ' Blackstenius ', 'player_number': ' 11'}, {'player_name': ' Asllani ', 'player_number': ' 9'}, {'player_name': ' Rolfö ', 'player_number': ' 18'}, {'player_name': ' Angeldal ', 'player_number': ' 16'}, {'player_name': ' Seger ', 'player_number': ' 17'}, {'player_name': ' Jakobsson ', 'player_number': ' 10'}, {'player_name': ' Eriksson ', 'player_number': ' 6'}, {'player_name': ' Björn ', 'player_number': ' 14'}, {'player_name': ' Ilestedt ', 'player_number': ' 13'}, {'player_name': ' Glas ', 'player_number': ' 4'}, {'player_name': ' Lindahl ', 'player_number': ' 1'}]","[{'player_name': ' Prince ', 'player_number': ' 15'}, {'player_name': ' Beckie ', 'player_number': ' 16'}, {'player_name': ' Sinclair ', 'player_number': ' 12'}, {'player_name': ' Quinn ', 'player_number': ' 5'}, {'player_name': ' Scott ', 'player_number': ' 11'}, {'player_name': ' Fleming ', 'player_number': ' 17'}, {'player_name': ' Chapman ', 'player_number': ' 2'}, {'player_name': ' Buchanan ', 'player_number': ' 3'}, {'player_name': ' Gilles ', 'player_number': ' 14'}, {'player_name': ' Lawrence ', 'player_number': ' 10'}, {'player_name': ' Labbé ', 'player_number': ' 1'}]"
 Match for third place , 05.08.2021 ,False,False,False, Australia Women , USA Women ,3,4,52%, 48% ,13, 19 ,4, 9 ,55%, 45% , 25% , 3% , 72% , Kashima Stadium ,"[{'event_team': 'away', 'event_time': "" 8' "", 'event_type': 'Goal', 'action_player_1': ' Megan Rapinoe '}, {'event_team': 'home', 'event_time': "" 17' "", 'event_type': 'Goal', 'action_player_1': ' Samantha Kerr ', 'action_player_2': ' Caitlin Foord '}, {'event_team': 'away', 'event_time': "" 21' "", 'event_type': 'Goal', 'action_player_1': ' Megan Rapinoe '}, {'event_team': 'away', 'event_time': "" 46' "", 'event_type': 'Goal', 'action_player_1': ' Carli Lloyd ', 'action_player_2': ' Lindsey Horan '}, {'event_team': 'away', 'event_time': "" 51' "", 'event_type': 'Goal', 'action_player_1': ' Carli Lloyd '}, {'event_team': 'home', 'event_time': "" 54' "", 'event_type': 'Goal', 'action_player_1': ' Caitlin Foord ', 'action_player_2': ' Kyah Simon '}, {'event_team': 'away', 'event_time': "" 61' "", 'event_type': 'Substitution', 'action_player_1': ' Rosemary Lavelle ', 'action_player_2': ' Samantha Mewis '}, {'event_team': 'away', 'event_time': "" 61' "", 'event_type': 'Substitution', 'action_player_1': ' Tobin Heath ', 'action_player_2': ' Megan Rapinoe '}, {'event_team': 'home', 'event_time': "" 67' "", 'event_type': 'Substitution', 'action_player_1': ' Mary Fowler ', 'action_player_2': ' Kyah Simon '}, {'event_team': 'home', 'event_time': "" 67' "", 'event_type': 'Substitution', 'action_player_1': ' Courtney Nevin ', 'action_player_2': ' Hayley Raso '}, {'event_team': 'home', 'event_time': "" 67' "", 'event_type': 'Substitution', 'action_player_1': ' Kyra Cooney-Cross ', 'action_player_2': ' Chloe Logarzo '}, {'event_team': 'home', 'event_time': "" 73' "", 'event_type': 'Substitution', 'action_player_1': ' Emily Gielnik ', 'action_player_2': ' Clare Polkinghorne '}, {'event_team': 'away', 'event_time': "" 81' "", 'event_type': 'Substitution', 'action_player_1': ' Alexandra Morgan ', 'action_player_2': ' Carli Lloyd '}, {'event_team': 'away', 'event_time': "" 85' "", 'event_type': 'Substitution', 'action_player_1': ' Emily Sonnett ', 'action_player_2': ' Christen Press '}, {'event_team': 'home', 'event_time': "" 87' "", 'event_type': 'Substitution', 'action_player_1': ' Laura Brock ', 'action_player_2': ' Tameka Yallop '}, {'event_team': 'home', 'event_time': "" 90' "", 'event_type': 'Goal', 'action_player_1': ' Emily Gielnik ', 'action_player_2': ' Caitlin Foord '}]","[{'player_name': ' Foord ', 'player_number': ' 9'}, {'player_name': ' Kerr ', 'player_number': ' 2'}, {'player_name': ' Simon ', 'player_number': ' 17'}, {'player_name': ' Yallop ', 'player_number': ' 13'}, {'player_name': ' Logarzo ', 'player_number': ' 6'}, {'player_name': ' van Egmond ', 'player_number': ' 10'}, {'player_name': ' Raso ', 'player_number': ' 16'}, {'player_name': ' Catley ', 'player_number': ' 7'}, {'player_name': ' Kennedy ', 'player_number': ' 14'}, {'player_name': ' Polkinghorne ', 'player_number': ' 4'}, {'player_name': ' Jade Micah ', 'player_number': ' 18'}]","[{'player_name': ' Rapinoe ', 'player_number': ' 15'}, {'player_name': ' Hollins ', 'player_number': ' 10'}, {'player_name': ' Press ', 'player_number': ' 11'}, {'player_name': ' Horan ', 'player_number': ' 9'}, {'player_name': ' Ertz ', 'player_number': ' 8'}, {'player_name': ' Mewis ', 'player_number': ' 3'}, {'player_name': ' Dunn Soubrier ', 'player_number': ' 2'}, {'player_name': ' Lillis Davidson ', 'player_number': ' 12'}, {'player_name': ' Sauerbrunn ', 'player_number': ' 4'}, {'player_name': "" O'Hara "", 'player_number': ' 5'}, {'player_name': ' Franch ', 'player_number': ' 18'}]"
 Semi-finals , 02.08.2021 ,False,False,False, Australia Women , Sweden Women ,0,1,58%, 42% ,14, 10 ,3, 4 ,58%, 43% , 33% , 3% , 64% ," Nissan Stadium, Yokohama ","[{'event_team': 'away', 'event_time': "" 46' "", 'event_type': 'Goal', 'action_player_1': ' Fridolina Rolfö ', 'action_player_2': ' Stina Blackstenius '}, {'event_team': 'home', 'event_time': "" 69' "", 'event_type': 'Substitution', 'action_player_1': ' Kyra Cooney-Cross ', 'action_player_2': ' Chloe Logarzo '}, {'event_team': 'home', 'event_time': "" 69' "", 'event_type': 'Substitution', 'action_player_1': ' Mary Fowler ', 'action_player_2': ' Kyah Simon '}, {'event_team': 'home', 'event_time': "" 69' "", 'event_type': 'Substitution', 'action_player_1': ' Clare Polkinghorne ', 'action_player_2': ' Tameka Yallop '}, {'event_team': 'away', 'event_time': "" 73' "", 'event_type': 'Substitution', 'action_player_1': ' Hanna Bennison ', 'action_player_2': ' Filippa Angeldal '}, {'event_team': 'home', 'event_time': "" 84' "", 'event_type': 'Substitution', 'action_player_1': ' Emily Gielnik ', 'action_player_2': ' Hayley Raso '}, {'event_team': 'away', 'event_time': "" 91' "", 'event_type': 'Substitution', 'action_player_1': ' Jonna Andersson ', 'action_player_2': ' Sofia Jakobsson '}, {'event_team': 'home', 'event_time': "" 91' "", 'event_type': 'Substitution', 'action_player_1': ' Laura Brock ', 'action_player_2': ' Caitlin Foord '}, {'event_team': 'away', 'event_time': "" 94' "", 'event_type': 'Substitution', 'action_player_1': ' Lina Hurtig ', 'action_player_2': ' Stina Blackstenius '}, {'event_team': 'home', 'event_time': "" 96' "", 'event_type': 'Red card', 'action_player_1': ' Ellie Carpenter '}]","[{'player_name': ' Kerr ', 'player_number': ' 2'}, {'player_name': ' Foord ', 'player_number': ' 9'}, {'player_name': ' Simon ', 'player_number': ' 17'}, {'player_name': ' Yallop ', 'player_number': ' 13'}, {'player_name': ' Logarzo ', 'player_number': ' 6'}, {'player_name': ' van Egmond ', 'player_number': ' 10'}, {'player_name': ' Raso ', 'player_number': ' 16'}, {'player_name': ' Catley ', 'player_number': ' 7'}, {'player_name': ' Kennedy ', 'player_number': ' 14'}, {'player_name': ' Carpenter ', 'player_number': ' 12'}, {'player_name': ' Jade Micah ', 'player_number': ' 18'}]","[{'player_name': ' Blackstenius ', 'player_number': ' 11'}, {'player_name': ' Asllani ', 'player_number': ' 9'}, {'player_name': ' Rolfö ', 'player_number': ' 18'}, {'player_name': ' Angeldal ', 'player_number': ' 16'}, {'player_name': ' Seger ', 'player_number': ' 17'}, {'player_name': ' Jakobsson ', 'player_number': ' 10'}, {'player_name': ' Eriksson ', 'player_number': ' 6'}, {'player_name': ' Björn ', 'player_number': ' 14'}, {'player_name': ' Ilestedt ', 'player_number': ' 13'}, {'player_name': ' Glas ', 'player_number': ' 4'}, {'player_name': ' Lindahl ', 'player_number': ' 1'}]"
 Semi-finals , 02.08.2021 ,False,False,False, USA Women , Canada Women ,0,1,56%, 44% ,17, 5 ,6, 2 ,48%, 52% , 74% , 4% , 22% , Kashima Stadium ,"[{'event_team': 'home', 'event_time': "" 30' "", 'event_type': 'Substitution', 'action_player_1': ' Adrianna Franch ', 'action_player_2': ' Alyssa Naeher '}, {'event_team': 'home', 'event_time': "" 32' "", 'event_type': 'Yellow card', 'action_player_1': "" Kelley O'Hara ""}, {'event_team': 'away', 'event_time': "" 60' "", 'event_type': 'Substitution', 'action_player_1': ' Julia Grosso ', 'action_player_2': ' Quinn '}, {'event_team': 'home', 'event_time': "" 60' "", 'event_type': 'Substitution', 'action_player_1': ' Christen Press ', 'action_player_2': ' Lynn Williams '}, {'event_team': 'away', 'event_time': "" 60' "", 'event_type': 'Substitution', 'action_player_1': ' Deanne Rose ', 'action_player_2': ' Nichelle Prince '}, {'event_team': 'home', 'event_time': "" 60' "", 'event_type': 'Substitution', 'action_player_1': ' Megan Rapinoe ', 'action_player_2': ' Tobin Heath '}, {'event_team': 'home', 'event_time': "" 60' "", 'event_type': 'Substitution', 'action_player_1': ' Carli Lloyd ', 'action_player_2': ' Alexandra Morgan '}, {'event_team': 'away', 'event_time': "" 75' "", 'event_type': 'Penalty', 'action_player_1': ' Jessie Fleming ', 'action_player_2': ' Penalty '}, {'event_team': 'home', 'event_time': "" 80' "", 'event_type': 'Substitution', 'action_player_1': ' Samantha Mewis ', 'action_player_2': "" Kelley O'Hara ""}, {'event_team': 'away', 'event_time': "" 87' "", 'event_type': 'Substitution', 'action_player_1': ' Jordyn Huitema ', 'action_player_2': ' Christine Sinclair '}, {'event_team': 'away', 'event_time': "" 90' "", 'event_type': 'Substitution', 'action_player_1': ' Adriana Leon ', 'action_player_2': ' Deanne Rose '}]","[{'player_name': ' Williams ', 'player_number': ' 21'}, {'player_name': ' Morgan Carrasco ', 'player_number': ' 13'}, {'player_name': ' Powell Heath ', 'player_number': ' 7'}, {'player_name': ' Horan ', 'player_number': ' 9'}, {'player_name': ' Ertz ', 'player_number': ' 8'}, {'player_name': ' Lavelle ', 'player_number': ' 16'}, {'player_name': ' Dunn Soubrier ', 'player_number': ' 2'}, {'player_name': ' Lillis Davidson ', 'player_number': ' 12'}, {'player_name': ' Sauerbrunn ', 'player_number': ' 4'}, {'player_name': "" O'Hara "", 'player_number': ' 5'}, {'player_name': ' Naeher ', 'player_number': ' 1'}]","[{'player_name': ' Prince ', 'player_number': ' 15'}, {'player_name': ' Beckie ', 'player_number': ' 16'}, {'player_name': ' Sinclair ', 'player_number': ' 12'}, {'player_name': ' Quinn ', 'player_number': ' 5'}, {'player_name': ' Fleming ', 'player_number': ' 17'}, {'player_name': ' Scott ', 'player_number': ' 11'}, {'player_name': ' Chapman ', 'player_number': ' 2'}, {'player_name': ' Buchanan ', 'player_number': ' 3'}, {'player_name': ' Gilles ', 'player_number': ' 14'}, {'player_name': ' Lawrence ', 'player_number': ' 10'}, {'player_name': ' Labbé ', 'player_number': ' 1'}]"
 Quarter-finals ,30.07.2021,True,2,4, Netherlands Women , USA Women ,2,2,49%, 51% ,21, 16 ,7, 4 ,47%, 53% , 49% , 4% , 47% ," Nissan Stadium, Yokohama ","[{'event_team': 'home', 'event_time': "" 18' "", 'event_type': 'Goal', 'action_player_1': ' Vivianne Miedema '}, {'event_team': 'away', 'event_time': "" 28' "", 'event_type': 'Goal', 'action_player_1': ' Samantha Mewis ', 'action_player_2': ' Lynn Williams '}, {'event_team': 'away', 'event_time': "" 31' "", 'event_type': 'Goal', 'action_player_1': ' Lynn Williams ', 'action_player_2': ' Samantha Mewis '}, {'event_team': 'home', 'event_time': "" 54' "", 'event_type': 'Goal', 'action_player_1': ' Vivianne Miedema '}, {'event_team': 'away', 'event_time': "" 57' "", 'event_type': 'Substitution', 'action_player_1': ' Christen Press ', 'action_player_2': ' Lynn Williams '}, {'event_team': 'away', 'event_time': "" 58' "", 'event_type': 'Substitution', 'action_player_1': ' Rosemary Lavelle ', 'action_player_2': ' Samantha Mewis '}, {'event_team': 'away', 'event_time': "" 58' "", 'event_type': 'Substitution', 'action_player_1': ' Alexandra Morgan ', 'action_player_2': ' Carli Lloyd '}, {'event_team': 'home', 'event_time': "" 63' "", 'event_type': 'Substitution', 'action_player_1': ' Lineth Beerensteyn ', 'action_player_2': ' Shanice van de Sanden '}, {'event_team': 'away', 'event_time': "" 64' "", 'event_type': 'Substitution', 'action_player_1': ' Megan Rapinoe ', 'action_player_2': ' Tobin Heath '}, {'event_team': 'away', 'event_time': "" 77' "", 'event_type': 'Yellow card', 'action_player_1': ' Lindsey Horan '}, {'event_team': 'home', 'event_time': "" 94' "", 'event_type': 'Yellow card', 'action_player_1': ' Daniëlle van de Donk '}, {'event_team': 'home', 'event_time': "" 97' "", 'event_type': 'Substitution', 'action_player_1': ' Victoria Pelova ', 'action_player_2': ' Jill Roord '}, {'event_team': 'away', 'event_time': "" 115' "", 'event_type': 'Yellow card', 'action_player_1': "" Kelley O'Hara ""}, {'event_team': 'home', 'event_time': False, 'event_type': 'PK', 'event_result': 'Missed', 'event_player': ' Vivianne Miedema '}, {'event_team': 'away', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Rosemary Lavelle '}, {'event_team': 'home', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Dominique Janssen '}, {'event_team': 'away', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Alexandra Morgan '}, {'event_team': 'home', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Stefanie van der Gragt '}, {'event_team': 'away', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Christen Press '}, {'event_team': 'home', 'event_time': False, 'event_type': 'PK', 'event_result': 'Missed', 'event_player': ' Aniek Nouwen '}, {'event_team': 'away', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Megan Rapinoe '}]","[{'player_name': ' Miedema ', 'player_number': ' 9'}, {'player_name': ' Martens ', 'player_number': ' 11'}, {'player_name': ' van de Donk ', 'player_number': ' 10'}, {'player_name': ' van de Sanden ', 'player_number': ' 7'}, {'player_name': ' Groenen ', 'player_number': ' 14'}, {'player_name': ' Roord ', 'player_number': ' 6'}, {'player_name': ' Janssen ', 'player_number': ' 17'}, {'player_name': ' Nouwen ', 'player_number': ' 4'}, {'player_name': ' van der Gragt ', 'player_number': ' 3'}, {'player_name': ' Wilms ', 'player_number': ' 2'}, {'player_name': ' van Veenendaal ', 'player_number': ' 1'}]","[{'player_name': ' Powell Heath ', 'player_number': ' 7'}, {'player_name': ' Hollins ', 'player_number': ' 10'}, {'player_name': ' Williams ', 'player_number': ' 21'}, {'player_name': ' Horan ', 'player_number': ' 9'}, {'player_name': ' Ertz ', 'player_number': ' 8'}, {'player_name': ' Mewis ', 'player_number': ' 3'}, {'player_name': ' Dunn Soubrier ', 'player_number': ' 2'}, {'player_name': ' Sauerbrunn ', 'player_number': ' 4'}, {'player_name': ' Dahlkemper ', 'player_number': ' 17'}, {'player_name': "" O'Hara "", 'player_number': ' 5'}, {'player_name': ' Naeher ', 'player_number': ' 1'}]"
